,StepTotal,StepTotal.1,StepTotal.2,StepTotal.3,StepTotal.4,StepTotal.5,StepTotal.6,StepTotal.7,StepTotal.8,StepTotal.9,StepTotal.10,StepTotal.11,StepTotal.12,StepTotal.13,StepTotal.14,StepTotal.15,StepTotal.16,StepTotal.17,StepTotal.18,StepTotal.19,StepTotal.20,StepTotal.21,StepTotal.22,StepTotal.23,StepTotal.24,StepTotal.25,StepTotal.26,StepTotal.27,StepTotal.28,StepTotal.29,StepTotal.30
48,3423.0,6880.0,5992.0,14376.0,3113.0,6226.0,19730.0,2364.0,9338.0,9920.0,9360.0,6674.0,18653.0,2893.0,11127.0,8874.0,13965.0,12558.0,10993.0,14309.0,11020.0,13648.0,10268.0,12035.0,10815.0,14981.0,19365.0,10657.0,10719.0,10879.0,14014.0
49,10631.0,16134.0,14908.0,10801.0,12535.0,10969.0,10173.0,11664.0,10237.0,12877.0,10034.0,10439.0,10425.0,10332.0,10956.0,4175.0,12277.0,10500.0,10288.0,10680.0,14228.0,10060.0,10902.0,6298.0,17860.0,9735.0,10760.0,12594.0,11484.0,13574.0,8830.0
50,11442.0,5717.0,14901.0,7341.0,12012.0,9045.0,15378.0,16570.0,10344.0,10643.0,11934.0,11315.0,14767.0,20515.0,11400.0,10299.0,3406.0,12525.0,12919.0,9042.0,14755.0,8683.0,12777.0,9714.0,11552.0,14694.0,5073.0,12205.0,11555.0,10239.0,10885.0
51,13352.0,10721.0,16764.0,5261.0,10912.0,12128.0,11768.0,10644.0,11575.0,15386.0,14066.0,17742.0,11687.0,7616.0,13930.0,11278.0,11547.0,10912.0,10833.0,12939.0,11290.0,10311.0,12727.0,12655.0,9662.0,9561.0,12310.0,10344.0,9731.0,12694.0,20083.0
52,8700.0,9438.0,13085.0,16857.0,13078.0,16300.0,8109.0,7390.0,7731.0,6684.0,7674.0,7418.0,6509.0,7746.0,2572.0,8003.0,6686.0,7731.0,5262.0,5974.0,7151.0,5643.0,6612.0,4123.0,5360.0,5764.0,2991.0,4590.0,2902.0,5495.0,4555.0
53,905.0,18925.0,14228.0,6756.0,5002.0,7079.0,5614.0,8169.0,19971.0,8052.0,11998.0,12425.0,6007.0,16291.0,6111.0,17928.0,13892.0,5109.0,4043.0,7497.0,8049.0,5065.0,21479.0,18995.0,16836.0,15944.0,14273.0,16006.0,13594.0,15048.0,19044.0
54,13925.0,11338.0,7014.0,15449.0,11092.0,26444.0,12335.0,14137.0,11568.0,16813.0,15217.0,13158.0,19311.0,16186.0,12713.0,9132.0,20239.0,11199.0,20269.0,11655.0,12314.0,12585.0,12445.0,14193.0,11056.0,15695.0,9747.0,15731.0,8391.0,8326.0,14241.0
55,7297.0,10644.0,12370.0,7058.0,12168.0,15135.0,14995.0,8704.0,12739.0,13247.0,11066.0,13702.0,11024.0,13262.0,9009.0,15779.0,6173.0,11614.0,13046.0,10.0,10068.0,14105.0,9193.0,17497.0,5765.0,15362.0,9087.0,14502.0,14652.0,7627.0,13877.0
56,11433.0,13655.0,13535.0,1883.0,11354.0,11532.0,6129.0,6237.0,15572.0,10886.0,12213.0,12929.0,16365.0,17252.0,14537.0,13404.0,10094.0,10032.0,14008.0,12149.0,19977.0,11924.0,10757.0,12229.0,10033.0,11689.0,15627.0,10681.0,7907.0,9487.0,8253.0
57,22238.0,10065.0,12038.0,11048.0,9199.0,9564.0,9019.0,10238.0,7739.0,12062.0,14225.0,3858.0,17602.0,10699.0,7261.0,10607.0,12270.0,9998.0,5757.0,8995.0,7553.0,6494.0,7951.0,7423.0,6813.0,3991.0,9725.0,8936.0,6565.0,7865.0,8718.0
58,12364.0,5216.0,6058.0,7015.0,8103.0,6962.0,16477.0,11603.0,11429.0,6292.0,7269.0,4471.0,17913.0,5431.0,11672.0,14777.0,9171.0,8807.0,5622.0,12091.0,8805.0,7107.0,3862.0,7367.0,6269.0,8052.0,8116.0,8267.0,14489.0,9212.0,9005.0
59,11151.0,12350.0,10067.0,5574.0,11587.0,9499.0,13788.0,18361.0,14055.0,11927.0,15220.0,8568.0,3284.0,9408.0,10261.0,8218.0,9076.0,10769.0,11671.0,14444.0,23313.0,16081.0,10745.0,10784.0,10074.0,8531.0,12738.0,13052.0,15884.0,10026.0,11868.0
60,12380.0,7157.0,7055.0,9347.0,8566.0,9786.0,8371.0,9427.0,13742.0,15636.0,12777.0,7377.0,0.0,6452.0,7837.0,6504.0,6444.0,7845.0,12026.0,12154.0,7801.0,10046.0,13837.0,12517.0,10366.0,12127.0,11327.0,11097.0,12395.0,6643.0,8846.0
61,9642.0,9982.0,6612.0,12161.0,14837.0,16759.0,9602.0,3761.0,7456.0,16755.0,11937.0,14577.0,17541.0,39.0,6061.0,13073.0,9997.0,10707.0,9952.0,9774.0,6026.0,11425.0,10466.0,12866.0,2449.0,10434.0,10434.0,12578.0,15373.0,12327.0,10457.0
